	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
131	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9506621352396578	0.9533527696793003	0.9496086105675147	0.9332968835429196	0.931098696461825	0.9342105263157895
75	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.957224891597328	0.9620991253644315	0.9553163731245923	0.9332968835429196	0.9348230912476723	0.9326625386996904
113	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9485526778389781	0.8521449396084965	0.9863013698630136	0.9332968835429196	0.8268156424581006	0.9775541795665634
78	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9491386382280558	0.9483548521449396	0.9494455316373125	0.9332968835429196	0.9329608938547486	0.93343653250774
70	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9558185866635416	0.9546022490628905	0.9562948467058056	0.932750136686714	0.925512104283054	0.9357585139318886
36	{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9460916442048517	0.8496459808413162	0.9838551859099804	0.932750136686714	0.8305400372439479	0.9752321981424149
108	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9477323332942693	0.8500624739691796	0.9859752120026093	0.932750136686714	0.8249534450651769	0.9775541795665634
126	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.95113090355092	0.9491878384006663	0.9518917155903457	0.9322033898305084	0.925512104283054	0.934984520123839
112	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9470291808273761	0.8483965014577259	0.9856490541422048	0.9322033898305084	0.8268156424581006	0.9760061919504643
155	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9566389312082503	0.9616826322365681	0.9546640574037835	0.9322033898305084	0.9348230912476723	0.9311145510835913
32	{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9465604125161139	0.8488129945855893	0.9848336594911937	0.9322033898305084	0.8286778398510242	0.9752321981424149
46	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9510137114731044	0.9491878384006663	0.9517286366601435	0.9311098961180974	0.925512104283054	0.93343653250774
79	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9519512480956287	0.9596001665972511	0.9489562948467059	0.9311098961180974	0.9366852886405959	0.9287925696594427
74	{'n_estimators': 500, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9521856322512599	0.9521032902957102	0.9522178734507502	0.9311098961180974	0.925512104283054	0.93343653250774
154	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9524200164068909	0.95085381091212	0.9530332681017613	0.9311098961180974	0.9236499068901304	0.9342105263157895
54	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.945505683815774	0.9458558933777592	0.945368558382257	0.9311098961180974	0.931098696461825	0.9311145510835913
158	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9485526778389781	0.9479383590170762	0.9487932159165036	0.9305631492618918	0.9273743016759777	0.9318885448916409
51	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9504277510840268	0.9529362765514369	0.9494455316373125	0.9305631492618918	0.9329608938547486	0.9295665634674922
134	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.945505683815774	0.9458558933777592	0.945368558382257	0.9300164024056862	0.9292364990689013	0.9303405572755418
159	{'n_estimators': 1000, 'max_depth': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9530059767959685	0.9604331528529779	0.9500978473581213	0.9300164024056862	0.9366852886405959	0.9272445820433437
130	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9480839095277159	0.9483548521449396	0.9479778212654925	0.9300164024056862	0.9292364990689013	0.9303405572755418
50	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9471463729051917	0.9471053727613494	0.9471624266144814	0.9294696555494806	0.9292364990689013	0.9295665634674922
135	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9482011016055315	0.9516867971678468	0.946836268754077	0.9294696555494806	0.9348230912476723	0.9272445820433437
139	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9471463729051917	0.9516867971678468	0.945368558382257	0.9294696555494806	0.9329608938547486	0.9280185758513931
138	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9446853392710652	0.9450229071220325	0.9445531637312459	0.928922908693275	0.931098696461825	0.9280185758513931
55	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9490214461502402	0.9533527696793003	0.9473255055446836	0.928922908693275	0.9329608938547486	0.9272445820433437
23	{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9380053908355795	0.9416909620991254	0.9365622961513372	0.928922908693275	0.925512104283054	0.9303405572755418
58	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9444509551154342	0.9437734277384423	0.9447162426614482	0.9283761618370694	0.9273743016759777	0.9287925696594427
102	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9375366225243174	0.939192003331945	0.9368884540117417	0.9283761618370694	0.9236499068901304	0.9303405572755418
13	{'n_estimators': 500, 'max_depth': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.938122582913395	0.8150770512286547	0.9863013698630136	0.9278294149808639	0.8007448789571695	0.9806501547987616
