	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
3	{'penalty': 'l2', 'solver': 'liblinear', 'C': 1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9775146354443853	0.9220543806646526	0.9931752260706365	0.973308504034761	0.8931750741839762	0.9945054945054945
8	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9776476849387973	0.9220543806646526	0.9933458454188705	0.973308504034761	0.8931750741839762	0.9945054945054945
2	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9764502394890899	0.918429003021148	0.9928339873741683	0.9726877715704532	0.8902077151335311	0.9945054945054945
4	{'penalty': 'l2', 'solver': 'liblinear', 'C': 10, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9776476849387973	0.9250755287009064	0.9924927486777001	0.9726877715704532	0.8902077151335311	0.9945054945054945
9	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 10, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9776476849387973	0.9250755287009064	0.9924927486777001	0.9726877715704532	0.8902077151335311	0.9945054945054945
7	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.1, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9760510910058542	0.9154078549848943	0.9931752260706365	0.9720670391061452	0.8902077151335311	0.9937205651491365
1	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.01, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9741883980840873	0.9099697885196375	0.992322129329466	0.9664804469273743	0.8694362017804155	0.9921507064364207
6	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.01, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9737892496008516	0.9021148036253777	0.9940283228118069	0.9652389819987586	0.8664688427299704	0.9913657770800628
5	{'penalty': 'l2', 'solver': 'lbfgs', 'C': 0.001, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9650079829696647	0.8513595166163141	0.9970994710800205	0.9621353196772191	0.827893175074184	0.9976452119309263
0	{'penalty': 'l2', 'solver': 'liblinear', 'C': 0.001, 'max_iter': 500, 'random_state': 1618, 'n_jobs': 4}	0.9566258648217136	0.9262839879154079	0.9651936529602457	0.9540657976412167	0.9020771513353115	0.9678178963893249
