	params	train_accuracy	train_sensitivity	train_specificity	validation_accuracy	validation_sensitivity	validation_specificity
32	{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9785790313996807	0.9202416918429003	0.9950520389012114	0.9720670391061452	0.887240356083086	0.9945054945054945
34	{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9801756253326237	0.943202416918429	0.990615935847125	0.9720670391061452	0.9020771513353115	0.9905808477237049
36	{'n_estimators': 500, 'max_depth': 6, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.978046833422033	0.918429003021148	0.9948814195529773	0.9720670391061452	0.887240356083086	0.9945054945054945
130	{'n_estimators': 1000, 'max_depth': 8, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9832357637040979	0.9516616314199395	0.9921515099812319	0.9720670391061452	0.9020771513353115	0.9905808477237049
52	{'n_estimators': 500, 'max_depth': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9805747738158594	0.9299093655589123	0.9948814195529773	0.9720670391061452	0.8902077151335311	0.9937205651491365
117	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9793773283661522	0.9238670694864048	0.9950520389012114	0.9714463066418374	0.884272997032641	0.9945054945054945
113	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9801756253326237	0.9262839879154079	0.9953932775976796	0.9714463066418374	0.884272997032641	0.9945054945054945
101	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.9820383182543906	0.9305135951661632	0.9965876130353182	0.9714463066418374	0.887240356083086	0.9937205651491365
106	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'bootstrap': True, 'random_state': 1618, 'n_jobs': 4}	0.9823044172432145	0.9462235649546827	0.9924927486777001	0.9714463066418374	0.8991097922848664	0.9905808477237049
105	{'n_estimators': 1000, 'max_depth': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': None, 'bootstrap': False, 'random_state': 1618, 'n_jobs': 4}	0.981506120276743	0.9280966767371601	0.9965876130353182	0.9714463066418374	0.887240356083086	0.9937205651491365
